Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Highest Degree,Years of Experience,Candidate Type
2468,Associate Software Developer,Engineering,Offer Sent,11/1/18,Campus Job Board,PhD,2,Campus
2471,Associate Relationship Manager,Sales,Offer Sent,12/13/18,Campus Event,Masters,0,Campus
2475,Associate Software Developer,Engineering,Offer Sent,12/21/18,Advertisement,Masters,0,Campus
2480,Associate Relationship Manager,Sales,Offer Sent,12/25/18,Campus Event,Masters,0,Campus
2486,Associate Relationship Manager,Sales,Offer Sent,12/6/18,Campus Event,Masters,1,Campus
2493,Associate Software Developer,Engineering,Offer Sent,12/11/18,Campus Event,PhD,1,Campus
2501,Associate Software Developer,Engineering,Offer Sent,12/13/18,Campus Job Board,Bachelors,0,Campus
2510,Associate Relationship Manager,Sales,Offer Sent,12/13/18,Career Fair,Masters,0,Campus
2520,Associate Software Developer,Engineering,Offer Sent,11/23/18,Career Fair,Bachelors,0,Campus
2531,Associate Software Developer,Engineering,Offer Sent,1/2/19,Campus Event,PhD,1,Campus
2543,Associate Relationship Manager,Sales,Offer Sent,12/26/18,Campus Job Board,Masters,0,Campus
2556,Associate Software Developer,Engineering,Offer Sent,11/10/18,Campus Event,PhD,2,Campus
2570,Associate Software Developer,Engineering,Offer Sent,1/5/16,Advertisement,Bachelors,0,Campus
2585,Associate Software Developer,Engineering,Offer Sent,9/9/17,Campus Event,Bachelors,0,Campus
2601,Associate Relationship Manager,Sales,Offer Sent,12/12/18,Advertisement,JD,2,Campus
2618,Associate Software Developer,Engineering,Offer Sent,12/2/18,Advertisement,Bachelors,0,Campus
2636,Associate Relationship Manager,Sales,Offer Sent,11/1/17,Campus Job Board,Masters,0,Campus
2655,Associate Software Developer,Engineering,Offer Sent,11/12/17,Career Fair,Bachelors,0,Campus
2675,Associate Product Manager,Product,Offer Sent,11/9/16,Campus Job Board,PhD,2,Campus
2696,Associate Product Manager,Product,Offer Sent,8/25/18,Campus Event,Bachelors,0,Campus
2718,Associate Software Developer,Engineering,Offer Sent,10/2/18,Campus Job Board,PhD,1,Campus
2741,Associate Software Developer,Engineering,Offer Sent,8/28/18,Career Fair,Bachelors,0,Campus
2765,Associate Relationship Manager,Sales,Offer Sent,10/20/16,Website,Bachelors,0,Campus
2790,Associate Software Developer,Engineering,Offer Sent,8/17/18,Campus Event,Bachelors,0,Campus
2816,Associate Relationship Manager,Sales,Offer Sent,10/31/18,Website,Bachelors,0,Campus
2843,Associate Software Developer,Engineering,Offer Sent,9/13/16,Campus Event,PhD,1,Campus
2871,Associate Software Developer,Engineering,Offer Sent,11/13/17,Campus Job Board,Bachelors,0,Campus
2900,Associate Software Developer,Engineering,Offer Sent,9/18/16,Campus Event,Bachelors,0,Campus
2930,Associate Software Developer,Engineering,Offer Sent,8/3/18,Career Fair,Bachelors,0,Campus
2961,Associate Software Developer,Engineering,Offer Sent,10/14/16,Career Fair,Bachelors,0,Campus
2993,Associate Software Developer,Engineering,Offer Sent,11/5/18,Website,PhD,2,Campus
3026,Associate Software Developer,Engineering,Offer Sent,10/16/16,Career Fair,Masters,0,Campus
3060,Associate Relationship Manager,Sales,Offer Sent,9/5/17,Career Fair,Bachelors,0,Campus
3095,Associate Product Manager,Product,Offer Sent,8/28/18,Campus Event,Bachelors,0,Campus
3131,Associate Software Developer,Engineering,Offer Sent,8/1/18,Career Fair,PhD,2,Campus
3168,Associate Relationship Manager,Sales,Offer Sent,8/29/18,Campus Event,Masters,0,Campus
3206,Associate Software Developer,Engineering,Offer Sent,9/17/17,Career Fair,Bachelors,0,Campus
3245,Associate Relationship Manager,Sales,Offer Sent,12/14/16,Campus Event,Masters,0,Campus
3285,Associate Software Developer,Engineering,Offer Sent,12/23/17,Career Fair,Bachelors,0,Campus
3326,Associate Software Developer,Engineering,Offer Sent,9/15/18,Career Fair,Bachelors,0,Campus
3368,Associate Software Developer,Engineering,Offer Sent,9/23/18,Career Fair,Bachelors,0,Campus
3411,Associate Software Developer,Engineering,Offer Sent,1/12/17,Career Fair,Bachelors,0,Campus
3455,Associate Software Developer,Engineering,Offer Sent,8/30/18,Campus Event,PhD,1,Campus
3500,Associate Relationship Manager,Sales,Offer Sent,9/25/18,Campus Job Board,Bachelors,0,Campus
3546,Associate Software Developer,Engineering,Offer Sent,10/26/16,Campus Event,Bachelors,0,Campus
3593,Associate Software Developer,Engineering,Offer Sent,9/26/18,Campus Event,Bachelors,0,Campus
3641,Associate Product Manager,Product,Offer Sent,10/7/17,Campus Job Board,PhD,2,Campus
3690,Associate Relationship Manager,Sales,Offer Sent,8/11/18,Campus Event,Masters,0,Campus
3740,Associate Software Developer,Engineering,Offer Sent,11/7/16,Campus Event,PhD,3,Campus
3791,Associate Software Developer,Engineering,Offer Sent,10/3/17,Campus Event,Bachelors,0,Campus
3843,Associate Relationship Manager,Sales,Offer Sent,10/22/18,Career Fair,Bachelors,0,Campus
3896,Associate Relationship Manager,Sales,Offer Sent,9/28/16,Campus Event,Masters,1,Campus
3950,Associate Relationship Manager,Sales,Offer Sent,12/12/16,Career Fair,Bachelors,0,Campus
4005,Associate Software Developer,Engineering,Offer Sent,11/24/16,Campus Job Board,Bachelors,0,Campus
4061,Associate Software Developer,Engineering,Offer Sent,11/28/18,Website,Bachelors,0,Campus
4118,Associate Software Developer,Engineering,Offer Sent,10/16/18,Website,PhD,1,Campus
4176,Associate Software Developer,Engineering,Offer Sent,10/2/18,Career Fair,Bachelors,0,Campus
4235,Associate Software Developer,Engineering,Offer Sent,10/7/18,Campus Job Board,Masters,1,Campus
4295,Associate Product Manager,Product,Offer Sent,10/8/18,Career Fair,PhD,2,Campus
4356,Associate Software Developer,Engineering,Offer Sent,12/1/18,Website,Bachelors,0,Campus
4418,Associate Software Developer,Engineering,Offer Sent,12/14/16,Website,Bachelors,0,Campus
4481,Finance Manager,Finance,Offer Sent,8/15/18,Website,Masters,5,Experienced
4545,Associate Software Developer,Engineering,Offer Sent,9/14/18,Campus Event,Bachelors,0,Campus
4610,Associate Software Developer,Engineering,Offer Sent,1/1/16,Campus Job Board,Bachelors,0,Campus
4676,Associate Product Manager,Product,Offer Sent,10/9/16,Campus Job Board,PhD,1,Campus
4743,Associate Relationship Manager,Sales,Offer Sent,9/11/18,Campus Event,Masters,0,Campus
4811,Associate Product Manager,Product,Offer Sent,9/20/17,Campus Job Board,Bachelors,0,Campus
4880,Associate Product Manager,Product,Offer Sent,9/4/18,Campus Event,PhD,2,Campus
4950,Associate Relationship Manager,Sales,Offer Sent,9/17/17,Campus Event,Masters,0,Campus
5021,Associate Software Developer,Engineering,Offer Sent,10/30/17,Campus Event,Bachelors,0,Campus
5093,Associate Software Developer,Engineering,Offer Sent,10/27/17,Career Fair,Bachelors,0,Campus
5166,Associate Software Developer,Engineering,New Application,9/14/16,Campus Job Board,Bachelors,0,Campus
5240,Associate Software Developer,Engineering,New Application,1/4/16,Advertisement,Bachelors,0,Campus
5315,Associate Software Developer,Engineering,New Application,9/25/17,Advertisement,Bachelors,0,Campus
5391,Associate Software Developer,Engineering,New Application,3/20/16,Advertisement,Bachelors,0,Campus
5468,Associate Software Developer,Engineering,New Application,10/20/17,Career Fair,Bachelors,0,Campus
5546,Associate Software Developer,Engineering,New Application,11/22/17,Campus Job Board,Bachelors,0,Campus
5625,Associate Software Developer,Engineering,New Application,9/19/16,Career Fair,Bachelors,7,Campus
5705,Associate Software Developer,Engineering,New Application,9/9/16,Career Fair,Bachelors,0,Campus
5786,Associate Software Developer,Engineering,New Application,9/2/16,Career Fair,Bachelors,0,Campus
5868,Associate Software Developer,Engineering,New Application,3/26/16,Website,Bachelors,0,Campus
5951,Associate Software Developer,Engineering,New Application,2/19/17,Campus Job Board,Bachelors,0,Campus
6035,Associate Software Developer,Engineering,New Application,12/28/16,Career Fair,Bachelors,0,Campus
6120,Associate Software Developer,Engineering,New Application,10/31/16,Career Fair,Bachelors,0,Campus
6206,Associate Software Developer,Engineering,New Application,3/3/16,Website,Bachelors,2,Campus
6293,Associate Software Developer,Engineering,New Application,10/27/18,Campus Job Board,Bachelors,0,Campus
6381,Associate Software Developer,Engineering,New Application,9/23/16,Career Fair,Bachelors,0,Campus
6470,Associate Software Developer,Engineering,New Application,11/13/18,Career Fair,Bachelors,0,Campus
6560,Associate Software Developer,Engineering,New Application,9/10/16,Career Fair,Bachelors,0,Campus
6651,Associate Software Developer,Engineering,New Application,9/6/17,Career Fair,Bachelors,0,Campus
6743,Associate Software Developer,Engineering,New Application,9/20/18,Career Fair,Bachelors,0,Campus
6836,Associate Software Developer,Engineering,New Application,9/27/18,Career Fair,Bachelors,0,Campus
6930,Associate Software Developer,Engineering,New Application,12/2/17,Advertisement,Bachelors,4,Campus
7025,Associate Software Developer,Engineering,New Application,10/12/17,Career Fair,Bachelors,0,Campus
7121,Associate Software Developer,Engineering,New Application,9/29/18,Career Fair,Bachelors,0,Campus
7218,Associate Software Developer,Engineering,New Application,9/13/18,Career Fair,Bachelors,0,Campus
7316,Associate Software Developer,Engineering,New Application,8/18/18,Career Fair,Bachelors,0,Campus
7415,Associate Software Developer,Engineering,New Application,10/3/17,Career Fair,Bachelors,0,Campus
7515,Associate Software Developer,Engineering,New Application,3/21/17,Advertisement,Bachelors,0,Campus
7616,Associate Software Developer,Engineering,New Application,9/26/18,Career Fair,Bachelors,0,Campus
7718,Associate Software Developer,Engineering,New Application,3/8/16,Advertisement,Bachelors,0,Campus
7821,Associate Software Developer,Engineering,New Application,12/1/16,Campus Job Board,Bachelors,0,Campus
7925,Associate Software Developer,Engineering,New Application,1/10/16,Advertisement,Bachelors,1,Campus
8030,Associate Software Developer,Engineering,New Application,9/5/17,Career Fair,Bachelors,0,Campus
8136,Associate Software Developer,Engineering,New Application,8/21/18,Career Fair,Bachelors,0,Campus
8243,Associate Software Developer,Engineering,New Application,1/19/17,Campus Job Board,Bachelors,0,Campus
8351,Associate Software Developer,Engineering,New Application,10/2/16,Advertisement,Bachelors,0,Campus
8460,Associate Software Developer,Engineering,New Application,1/18/16,Campus Job Board,Bachelors,0,Campus
8570,Associate Software Developer,Engineering,New Application,9/22/18,Career Fair,Bachelors,0,Campus
8681,Associate Software Developer,Engineering,New Application,11/11/17,Career Fair,Bachelors,0,Campus
8793,Associate Software Developer,Engineering,New Application,10/28/17,Campus Job Board,Bachelors,0,Campus
8906,Associate Software Developer,Engineering,New Application,3/16/17,Advertisement,Bachelors,0,Campus
9020,Associate Software Developer,Engineering,New Application,1/20/17,Campus Job Board,Bachelors,0,Campus
9135,Associate Software Developer,Engineering,New Application,12/7/16,Career Fair,Bachelors,0,Campus
9251,Associate Software Developer,Engineering,New Application,11/1/17,Career Fair,Bachelors,0,Campus
9368,Associate Software Developer,Engineering,New Application,12/22/17,Advertisement,Bachelors,0,Campus
9486,Associate Software Developer,Engineering,New Application,3/2/16,Advertisement,Bachelors,0,Campus
9605,Associate Software Developer,Engineering,New Application,9/30/18,Career Fair,Bachelors,0,Campus
9725,Associate Software Developer,Engineering,New Application,9/23/16,Career Fair,Bachelors,0,Campus
9846,Associate Software Developer,Engineering,New Application,9/4/18,Career Fair,Bachelors,0,Campus
9968,Associate Software Developer,Engineering,New Application,8/2/18,Career Fair,Bachelors,0,Campus
10008,Associate Software Developer,Engineering,Offer Sent,8/8/16,Campus Event,Bachelors,0,Campus
10091,Associate Software Developer,Engineering,New Application,1/1/17,Career Fair,Bachelors,0,Campus
10215,Associate Software Developer,Engineering,New Application,10/20/18,Career Fair,Bachelors,0,Campus
10340,Associate Software Developer,Engineering,New Application,9/10/18,Career Fair,Bachelors,0,Campus
10466,Associate Software Developer,Engineering,New Application,10/29/17,Career Fair,Bachelors,0,Campus
10593,Associate Software Developer,Engineering,New Application,11/12/16,Campus Job Board,Bachelors,0,Campus
10701,Operations Coordinator,Operations,Offer Sent,10/30/17,Website,Bachelors,0,Campus
10721,Associate Software Developer,Engineering,New Application,9/22/18,Campus Event,Bachelors,0,Campus
10850,Associate Software Developer,Engineering,New Application,10/25/16,Website,Bachelors,0,Campus
10980,Associate Software Developer,Engineering,New Application,10/17/18,Career Fair,Bachelors,0,Campus
11111,Associate Software Developer,Engineering,New Application,2/18/16,Campus Job Board,Bachelors,0,Campus
11243,Associate Software Developer,Engineering,New Application,8/15/18,Career Fair,Bachelors,0,Campus
11376,Associate Software Developer,Engineering,New Application,9/19/18,Career Fair,Bachelors,0,Campus
11510,Associate Software Developer,Engineering,New Application,10/11/16,Career Fair,Bachelors,0,Campus
11645,Associate Software Developer,Engineering,New Application,1/6/16,Advertisement,Bachelors,1,Campus
11781,Associate Software Developer,Engineering,New Application,9/3/18,Career Fair,Bachelors,0,Campus
11918,Associate Software Developer,Engineering,New Application,9/7/16,Campus Job Board,Bachelors,0,Campus
12056,Associate Software Developer,Engineering,New Application,8/2/18,Career Fair,Bachelors,0,Campus
12195,Associate Software Developer,Engineering,New Application,2/12/16,Career Fair,Bachelors,0,Campus
12335,Associate Software Developer,Engineering,New Application,2/28/17,Advertisement,Bachelors,0,Campus
12476,Associate Software Developer,Engineering,New Application,12/26/16,Career Fair,Bachelors,0,Campus
12618,Associate Software Developer,Engineering,New Application,10/9/18,Career Fair,Bachelors,0,Campus
12761,Associate Software Developer,Engineering,New Application,9/17/18,Career Fair,Bachelors,0,Campus
12905,Associate Software Developer,Engineering,New Application,12/14/17,Campus Job Board,Bachelors,0,Campus
13050,Associate Software Developer,Engineering,New Application,12/18/17,Campus Job Board,Bachelors,0,Campus
13196,Associate Software Developer,Engineering,New Application,1/7/16,Campus Job Board,Bachelors,0,Campus
13343,Associate Software Developer,Engineering,New Application,10/26/18,Career Fair,Bachelors,0,Campus
13491,Associate Software Developer,Engineering,New Application,12/5/17,Advertisement,Bachelors,0,Campus
13640,Associate Software Developer,Engineering,New Application,9/16/18,Career Fair,Bachelors,0,Campus
13790,Associate Software Developer,Engineering,New Application,8/12/18,Career Fair,Bachelors,0,Campus
13941,Associate Software Developer,Engineering,New Application,1/16/16,Campus Job Board,Bachelors,0,Campus
14093,Associate Software Developer,Engineering,New Application,11/4/17,Career Fair,Bachelors,0,Campus
14246,Associate Software Developer,Engineering,New Application,3/12/16,Campus Job Board,Bachelors,0,Campus
14400,Associate Software Developer,Engineering,New Application,2/19/16,Advertisement,Bachelors,0,Campus
14555,Associate Software Developer,Engineering,New Application,10/10/16,Advertisement,Bachelors,0,Campus
14711,Associate Software Developer,Engineering,New Application,10/31/17,Career Fair,Bachelors,0,Campus
14868,Associate Software Developer,Engineering,New Application,11/10/17,Career Fair,Bachelors,0,Campus
15026,Associate Software Developer,Engineering,New Application,1/20/18,Website,Bachelors,0,Campus
15185,Associate Software Developer,Engineering,New Application,1/23/16,Advertisement,Bachelors,0,Campus
15345,Associate Software Developer,Engineering,New Application,10/1/16,Career Fair,Bachelors,0,Campus
15506,Associate Software Developer,Engineering,New Application,9/4/18,Career Fair,Bachelors,0,Campus
15668,Associate Software Developer,Engineering,New Application,12/26/17,Advertisement,Bachelors,0,Campus
15831,Associate Software Developer,Engineering,New Application,10/30/18,Career Fair,Bachelors,0,Campus
15872,Associate Product Manager,Product,Offer Sent,12/17/16,Campus Job Board,Bachelors,0,Campus
15995,Associate Software Developer,Engineering,New Application,11/1/17,Campus Job Board,Bachelors,0,Campus
16160,Associate Software Developer,Engineering,New Application,10/15/17,Campus Job Board,Bachelors,0,Campus
16326,Associate Software Developer,Engineering,New Application,12/1/16,Career Fair,Bachelors,0,Campus
16493,Associate Software Developer,Engineering,New Application,11/24/18,Campus Job Board,Bachelors,0,Campus
16661,Associate Software Developer,Engineering,New Application,12/13/17,Campus Job Board,Bachelors,0,Campus
16830,Associate Software Developer,Engineering,New Application,1/3/17,Advertisement,Bachelors,0,Campus
17000,Associate Software Developer,Engineering,New Application,11/10/18,Campus Job Board,Bachelors,0,Campus
17171,Associate Software Developer,Engineering,New Application,11/1/18,Website,Bachelors,0,Campus
17343,Associate Software Developer,Engineering,New Application,12/29/17,Campus Job Board,Bachelors,0,Campus
17516,Associate Software Developer,Engineering,New Application,10/30/17,Campus Job Board,Bachelors,0,Campus
